Run,Reference,,T_C,P_kbar,fO2_value,fO2_unit,fO2_comment,n_cpx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeO_Cpx,Fe2O3_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,P2O5_Cpx,Cr2O3_Cpx,NiO_Cpx,SiO2_Cpx_sd,TiO2_Cpx_sd,Al2O3_Cpx_sd,FeO_Cpx_sd,Fe2O3_Cpx_sd,MnO_Cpx_sd,MgO_Cpx_sd,CaO_Cpx_sd,Na2O_Cpx_sd,K2O_Cpx_sd,P2O5_Cpx_sd,Cr2O3_Cpx_sd,NiO_Cpx_sd,Cpx_sd,n_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeO_Liq,Fe2O3_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Cr2O3_Liq,NiO_Liq,H2O_Liq,H2O_Method,UnnormalizedTotal_Liq,Total_100_norm,SiO2_Liq_sd,TiO2_Liq_sd,Al2O3_Liq_sd,FeO_Liq_sd,Fe2O3_Liq_sd,MnO_Liq_sd,MgO_Liq_sd,CaO_Liq_sd,Na2O_Liq_sd,K2O_Liq_sd,P2O5_Liq_sd,Cr2O3_Liq_sd,NiO_Liq_sd,SiO2_Start,TiO2_Start,Al2O3_Start,Cr2O3_Start,FeO_Start,Fe2O3_Start,MnO_Start,MgO_Start,CaO_Start,Na2O_Start,K2O_Start,P2O5_Start,NiO_Start,H2O_Start,H2O_sat,Bt_Frac,Amph_Frac,Phl_Frac,Ap_Frac,Liq_frac,H2O_measurement,Comments
MB-43,Andujar&Scaillet_2012,,850,"0,5",,,,4,"51,6","1,35","1,82","11,4",,"0,99","10,5","20,8","1,54","0,1",,,,"0,8","0,48","0,45","0,2",,"0,04","0,5","0,3","0,31","0,04",,,,,,"60,74","0,66","19,7","3,09",,"0,19","0,28","0,61","9,4","5,4",,,,"2,79",Capsule_same_conditions,"97,6",,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
MB-44,Andujar&Scaillet_2012,,850,"0,5",,,,6,"50,2","2,13","2,45","12,3",,"1,03","9,6","20,5","1,68",0,,,,"0,1","0,14","0,05","0,1",,"0,03","0,2","0,2","0,1","0,02",,,,,,"58,9","0,62","20,4","3,18",,"0,22","0,32","0,78","10,4","5,24",,,,"2,55",Capsule_same_conditions,"99,1",,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
MB-57,Andujar&Scaillet_2012,,800,2,,,,1,"50,6","0,96","2,13","14,9",,"1,3","7,2","19,9","1,7","0,3",,,,,,,,,,,,,,,,,,,"61,5","0,31","19,4","2,67",,"0,15","0,18","0,45","10,1","5,21",,,,"5,53",Solubility_Carroll&Blank _1979,"92,2",,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
MB-58,Andujar&Scaillet_2012,,800,2,,,,1,50,"1,11","2,79","14,5",,"1,25","7,1","18,6","2,04","0,44",,,,,,,,,,,,,,,,,,,"60,3","0,47","20,2","2,36",,"0,25","0,18","0,54","10,5","5,23",,,,"4,79",Water in the melt,"91,4",,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
MB-21,Andujar&Scaillet_2012,,850,1,,,,2,"51,7","0,73","0,37","11,2",,"1,08","11,6",22,"1,3",0,,,,"0,3","0,09","0,42",0,,"0,01",0,"0,2","0,28",0,,,,,,"60,46","0,63","19,9","2,97",,"0,21","0,3","0,66","9,6","5,29",,,,"3,56",Capsule_same_conditions,"97,3",,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
MB-104,Andujar&Scaillet_2012,,850,1,,,,1,"50,4","1,01","1,2","11,8",,"0,75","11,5","22,8","0,43",0,,,,,,,,,,,,,,,,,,,60,"0,6","19,5","3,01",,"0,13","0,29","0,65","10,1","5,6",,,,"3,7",FTIR,"93,8",,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
18,Andujar_et_al_2008,,850,"0,5",,,,1,"48,7","3,13","3,12","12,24",,"1,03","9,53","17,68","3,67","0,08",,,,,,,,,,,,,,,,,,,"60,5","0,75","19,7",3,,"0,23","0,3","0,5","10,1","4,9",,,,3,Mass_balance,"99,1",,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,4,Sat,,,,,,,
20,Andujar_et_al_2008,,775,"2,5",,,,1,"47,4","2,51","3,62","13,83",,"1,78","8,13","16,4","4,37","0,04",,,,,,,,,,,,,,,,,,,"62,4","0,38","20,3","2,4",,"0,22","0,14","0,4","9,6","4,2",,,,"9,5",Mass_balance,"90,1",,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,12,Sat,,,,,,,
23,Andujar_et_al_2008,,700,"2,5",,,,1,"47,4","2,95","4,02","15,33",,"2,42","6,09","14,02","5,52","0,05",,,,,,,,,,,,,,,,,,,"61,1","0,12","20,4",2,,"0,24","0,07","0,16","9,7","6,2",,,,"9,5",Mass_balance,"89,2",,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,12,Sat,,,,,,,
25,Andujar_et_al_2008,,800,2,,,,2,"48,5","2,09","3,46","13,83",,"1,57","8,51","17,14","3,8","0,09",,,,"0,7","0,78","0,83","1,05",,"0,23","0,67","0,72","0,47","0,04",,,,,,"61,7","0,51",20,"2,5",,"0,28","0,14","0,41","9,9","4,7",,,,"5,1",Mass_balance,"93,2",,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,5,,,,,,,,
35,Andujar_et_al_2008,,825,1,,,,1,"45,7","3,01","3,94","15,49",,"1,26","7,95","16,23","4,38","0,09",,,,,,,,,,,,,,,,,,,"60,9","0,67","19,6","3,1",,"0,28","0,23","0,39","9,4","5,4",,,,"2,9",Mass_balance,"96,2",,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,"2,5",,,,,,,,
36,Andujar_et_al_2008,,775,2,,,,1,"44,8","3,83","4,2","14,81",,"1,7","7,2","16,57","4,48","0,01",,,,,,,,,,,,,,,,,,,62,"0,47","20,3","2,4",,"0,18","0,14","0,3","8,7","5,5",,,,"5,4",Mass_balance,"91,7",,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,5,,,,,,,,
38,Andujar_et_al_2008,,725,"2,5",,,,1,"45,9","3,49","4,17","15,8",,"1,67","7,03","15,57","4,81","0,04",,,,,,,,,,,,,,,,,,,"62,6","0,19","20,6","2,4",,"0,21","0,06","0,23","8,6",5,,,,"7,6",Mass_balance,"90,4",,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,7,,,,,,,,
43,Andujar_et_al_2008,,830,2,,,,2,"47,3","2,92","3,95","13,68",,"1,23","8,64","17,09","4,15","0,03",,,,"0,6","0,54","0,26","0,22",,"0,02","0,06","0,02","0,07",0,,,,,,"61,9","0,57","19,9","2,6",,"0,21","0,19","0,44","8,9","5,3",,,,"3,9",Mass_balance,98,,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,"3,8",,,,,,,,
44,Andujar_et_al_2008,,860,2,,,,1,"48,9","1,79","3,16","10,75",,"1,23","10,81","18,26","3,37","0,12",,,,,,,,,,,,,,,,,,,"61,5","0,63","19,8","2,7",,"0,28","0,32","0,6","8,8","5,4",,,,"3,8",Mass_balance,98,,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,"3,8",,,,,,,,
45,Andujar_et_al_2008,,775,2,,,,2,"47,1","3,73","3,68","14,56",,"1,31","7,2","15,42","4,95","0,1",,,,"0,5","0,37","0,66","0,32",,"0,04","0,22","0,08","0,37","0,08",,,,,,61,"0,47","20,5","2,8",,"0,23","0,17","0,35","9,5",5,,,,5,Mass_balance,98,,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,"3,8",,,,,,,,
27b,Andujar_et_al_2008,,750,2,,,,3,"46,1","4,23","3,78","18,91",,"1,79","3,92","16,72","3,77","0,03",,,,"0,5","0,36","0,03","0,05",,"0,06","0,15","0,18","0,11","0,02",,,,,,61,"0,4","20,7","2,5",,"0,25","0,08","0,32","10,6","4,1",,,,"5,4",Mass_balance,"90,4",,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,5,,,,,,,,
28b,Andujar_et_al_2008,,800,1,,,,1,"47,4","3,61","3,76","14,91",,"1,27","7,62","16,02","4,25","0,05",,,,,,,,,,,,,,,,,,,"60,1","0,7","19,8","3,2",,"0,29","0,21","0,36","10,8","4,5",,,,3,Mass_balance,"95,9",,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,"2,5",,,,,,,,
46,Andujar_et_al_2008,,800,1,,,,1,"45,4","3,41","4,01","14,54",,"1,57","7,78","16,57","4,25","0,14",,,,,,,,,,,,,,,,,,,62,"0,54","19,8","2,6",,"0,22","0,2","0,36","8,9","5,3",,,,"3,9",Mass_balance,"97,3",,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,"3,8",,,,,,,,
50,Andujar_et_al_2008,,775,1,,,,4,"45,5","3,57","3,47","16,95",,"1,6","5,8","17,89","3,22","0,07",,,,"0,6","0,46","0,18","0,65",,"0,14","0,3","0,22","0,2","0,03",,,,,,"61,4","0,5","19,4","2,7",,"0,22","0,14","0,53","9,8","5,3",,,,"3,9",Mass_balance,"96,4",,,,,,,,,,,,,,,"60,3","0,66","19,24",,"2,91",,"0,23","0,25","0,64","10,1","5,59","0,06",,"3,8",,,,,,,,
LN-21,Andujar_et_al_2010,,887,2,,,,3,"49,9","1,3","3,21","8,8",,"0,88","12,8","21,3","1,73",,,,,"0,6","0,32","0,9","0,46",,"0,04","0,8","0,5","0,24",,,,,,,"61,5","0,5","20,2","2,07",,"0,15","0,22","0,76","9,1","5,5",,,,"3,9",Mass_balance,"95,2",,,,,,,,,,,,,,,"59,4","0,81","19,25",,"3,9",,"0,16","0,52","1,2","9,18","5,2",,,,,,,,,,,
LN-23,Andujar_et_al_2010,,887,1,,,,1,"49,2","1,44","3,86","10,62",,"1,04","11,3","20,7","1,87",,,,,,,,,,,,,,,,,,,,"61,4","0,49","19,9","2,31",,"0,16","0,26","0,73","9,1","5,7",,,"0,08","4,1",Mass_balance,"96,1",,,,,,,,,,,,,,,"59,4","0,81","19,25",,"3,9",,"0,16","0,52","1,2","9,18","5,2",,,,,,,,,,,
LN-25,Andujar_et_al_2010,,925,1,,,,3,"48,4","1,9","3,82","10,11",,"0,75","12,8","20,7","1,54",,,,,"0,5","0,14","0,41","0,3",,"0,05","0,3","0,6","0,19",,,,,,,"61,3","0,44","19,3","2,53",,"0,16","0,3","0,82","9,2","5,8",,,0,"1,9",Mass_balance,97,,,,,,,,,,,,,,,"59,4","0,81","19,25",,"3,9",,"0,16","0,52","1,2","9,18","5,2",,,,,,,,,,,
LN-30,Andujar_et_al_2010,,875,2,,,,1,"50,1","1,5","2,48","9,69",,"0,98","12,6",21,"1,66",,,,,,,,,,,,,,,,,,,,"61,5","0,33","19,6","2,34",,"0,18","0,22","0,7","9,3","5,8",,,0,"3,7",Mass_balance,"94,5",,,,,,,,,,,,,,,"59,4","0,81","19,25",,"3,9",,"0,16","0,52","1,2","9,18","5,2",,,,,,,,,,,
LN-31,Andujar_et_al_2010,,925,2,,,,2,"47,8","2,13","4,27","11,05",,"0,79","11,7","19,9","2,32",,,,,"0,1","0,02","0,48","0,1",,"0,01","0,3","0,2","0,03",,,,,,,"61,7","0,33","19,6","2,32",,"0,19","0,24","0,68","9,2","5,7",,,0,"2,8",Mass_balance,"95,8",,,,,,,,,,,,,,,"59,4","0,81","19,25",,"3,9",,"0,16","0,52","1,2","9,18","5,2",,,,,,,,,,,
LN-29,Andujar_et_al_2010,,900,2,,,,1,49,"1,6","4,05","10,57",,"0,89","11,7",20,"2,2",,,,,,,,,,,,,,,,,,,,"61,4","0,31","19,8","2,3",,"0,14","0,21","0,61","9,5","5,7",,,0,"3,4",Mass_balance,"95,6",,,,,,,,,,,,,,,"59,4","0,81","19,25",,"3,9",,"0,16","0,52","1,2","9,18","5,2",,,,,,,,,,,
LN-28,Andujar_et_al_2010,,875,1,,,,1,"49,7","1,62","2,56","10,05",,"1,03","12,7","20,7","1,57",,,,,,,,,,,,,,,,,,,,"60,9","0,36","19,8","2,55",,"0,16","0,24","0,62","9,5","5,8",,,0,"2,4",Mass_balance,"95,5",,,,,,,,,,,,,,,"59,4","0,81","19,25",,"3,9",,"0,16","0,52","1,2","9,18","5,2",,,,,,,,,,,
TJ-10,Auwera&Longhi_1994,,1160,13,,,,4,"47,3","1,78","8,86","14,1",,"0,22","12,9","13,1","1,14",,,"0,03",,"0,2","0,03","0,07","0,1",,"0,01","0,2","0,1","0,04",,,"0,02",,,,"49,4","4,09","15,8","13,2",,"0,13","3,47","6,4","3,72","1,24","0,85",0,0,,,"98,3",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-11,Auwera&Longhi_1994,,1162,13,,,,6,"48,1","1,65","8,2","14,7",,"0,24","14,5","11,7","0,97",,,"0,03",,"0,7","0,16","0,72","0,9",,"0,02","0,7",1,"0,1",,,"0,02",,,,"48,5","4,42","15,7","13,4",,"0,13","3,71","6,67","3,49","1,11","0,84",0,0,,,"97,97",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-13,Auwera&Longhi_1994,,1130,13,,,,7,"48,8","1,4","7,59","16,4",,"0,22","12,7","12,3","0,85",,,"0,02",,"0,6","0,15","0,53","0,8",,"0,07","0,7","0,9","0,14",,,"0,03",,,,"48,6","3,49","15,5",14,,"0,12","2,96","6,44","3,14","1,46","1,38",0,0,,,"97,09",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-14,Auwera&Longhi_1994,,1200,16,,,,6,"48,6","1,87","10,2",12,,"0,16","12,6","14,3","1,77",,,"0,03",,1,"0,28","1,1","0,3",,"0,03","0,4","0,7","0,25",,,"0,02",,,,"50,6","4,18","15,6","11,7",,"0,1","3,37","6,59","3,93","1,1","1,34","0,01",0,,,"98,52",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-33,Auwera&Longhi_1994,,1071,"0,001",,,,2,"51,4","0,8","1,75","10,9",,"0,29","13,9","19,8","0,33",,,"0,01",,"0,9","0,76","1,9","0,3",,"0,06","0,7",,"0,06",,,"0,02",,,,"66,1","2,14","13,4","5,81",,"0,1","1,63","3,73","2,28","2,88","1,05",0,0,,,"99,12",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-34,Auwera&Longhi_1994,,1085,"0,001",,,,1,"52,5","0,33","1,58","9,89",,"0,24","13,29","22,5","0,37",,,"0,05",,,,,,,,,,,,,,,,,"60,7","2,34","13,2","7,25",,"0,16","2,98","5,77","2,79","2,2","1,72",0,"0,1",,,"99,21",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-35,Auwera&Longhi_1994,,1215,16,,,,6,"48,26","1,35","9,69","14,9",,"0,25","14,1","9,52","1,14",,,"0,06",,"0,24","0,04","0,22","0,3",,"0,02","0,3","0,42","0,03",,,"0,01",,,,51,"4,27","16,4","12,6",,"0,26","4,22","6,71","3,57","1,03","0,87","0,14",0,,,"101,07",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-4,Auwera&Longhi_1994,,1095,7,,,,7,"50,6","0,83","1,81","24,4",,"0,33","16,9","4,15","0,17",,,"0,01",,"0,9","0,12","0,38","1,1",,"0,06","0,9","0,67","0,07",,,"0,02",,,,"47,1","4,21",12,"17,8",,"0,18","3,4","7,28","2,93","2,02","2,32",0,0,,,"99,24",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-47,Auwera&Longhi_1994,,1100,5,,,,7,"50,4","0,9","1,21","22,5",,"0,31","17,9","4,8","0,11",,,"0,05",,"0,4","0,27","0,32","2,1",,"0,02","0,9","2,11","0,04",,,"0,02",,,,"50,2","4,42","11,5","15,1",,"0,19","3,39","7,06","3,65","1,69","1,42","0,03",0,,,"98,65",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-52,Auwera&Longhi_1994,,1080,"0,001",,,,3,"50,8","0,7","1,3","23,1",,"0,33","18,6","3,2","0,18","0,01","0,03",0,,"0,6","0,18","0,67","0,4",,"0,02","1,2","0,27","0,15",,"0,03",,,,,"54,1","3,26","11,8","13,2",,"0,2","2,83","6,57","2,83","1,62","1,15","0,03",0,,,"97,59",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-53,Auwera&Longhi_1994,,1070,"0,001",,,,5,"50,1","0,6","0,64","23,9",,"0,37","17,5","4,54","0,09","0,01","0,03","0,02",,"0,4","0,08","0,2","0,5",,"0,02","0,2","0,4","0,03",,"0,03","0,01",,,,"53,1","3,38","11,4","15,1",,"0,16","2,75","7,15","2,61","1,83","1,79",0,0,,,"99,27",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-55,Auwera&Longhi_1994,,1065,"0,001",,,,4,"50,7","0,29","1,62","11,5",,"0,23","12,6",21,"0,36",,,"0,05",,"0,5","0,14","0,17",1,,"0,04","0,2","1,2","0,06",,,,,,,"54,9","2,68","11,8","13,3",,"0,17","2,26","6,2","2,53","2,3","1,87","0,01",0,,,"98,02",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
TJ-8,Auwera&Longhi_1994,,1100,10,,,,2,"48,8","1,16","5,22","16,3",,"0,25","13,2","13,9","0,63",,,"0,04",,"0,5","0,03","0,23","0,08",,"0,04","0,1","1,2","0,01",,,0,,,,"49,1","3,22","14,4","14,8",,"0,14","3,2","6,72","3,34","1,7","1,13",0,0,,,"97,75",,,,,,,,,,,,,,,"49,54","3,46","16,04",,"13,06",,"0,13","4,54","6,82","3,65","0,94","0,63",,0,,,,,,,Anhydrous,Some pigeonites compiled
VB-13,Auwera_et_al_1998,,1074,5,,,,7,"49,84","0,79","0,95","30,89",,"0,59","12,7","4,42","0,08",,,"0,01",,"0,69","0,07","0,19","0,91",,"0,04","0,6","0,62","0,02",,,"0,01",,,,"50,24","2,92","10,48","19,58",,"0,33","1,85","6,52","2,84","2,72","2,47",0,0,,,"99,95",,,,,,,,,,,,,,,"46,93","3,59","13,45",,"15,35",,"0,19","3,15","8,44","3,44","1,8","2,5",,0,,,,,,,Anhydrous,
VB-14,Auwera_et_al_1998,,1078,5,,,,8,"50,93","0,83","1,15","26,25",,"0,51","16,41","4,19","0,08",,,"0,01",,"0,55","0,14","0,25","0,77",,"0,04","0,44","0,56","0,01",,,"0,01",,,,"45,8","4,16","10,87","20,17",,"0,32","3,25","7,49","2,69","2,04","2,84",0,0,,,"99,63",,,,,,,,,,,,,,,"46,93","3,59","13,45",,"15,35",,"0,19","3,15","8,44","3,44","1,8","2,5",,0,,,,,,,Anhydrous,
VB-16,Auwera_et_al_1998,,1065,"0,001",,,,1,"49,57","0,96","1,7","17,45",,"0,48","15,5","11,98","0,17",,,"0,05",,,,,,,,,,,,,,,,,"56,69","2,18","12,53","11,02",,"0,22","2,34","5,59","3,06","2,83","1,65","0,03",0,,,"98,14",,,,,,,,,,,,,,,"46,93","3,59","13,45",,"15,35",,"0,19","3,15","8,44","3,44","1,8","2,5",,0,,,,,,,Anhydrous,
VB-17,Auwera_et_al_1998,,1060,"0,001",,,,9,"50,19","0,88","1,43","17,8",,"0,58","14,1","14,1","0,2",,,"0,02",,"0,43","0,15","0,2","1,3",,"0,12",1,"2,1","0,03",,,"0,01",,,,"66,94","1,24","13,97","5,71",,"0,1","1,03","2,65","3,48","4,13","0,57",0,0,,,"99,82",,,,,,,,,,,,,,,"46,93","3,59","13,45",,"15,35",,"0,19","3,15","8,44","3,44","1,8","2,5",,0,,,,,,,Anhydrous,
15,Baker&Stolper_1994,,1280,10,,,,5,"51,8","0,14",5,"3,6",,"0,07","19,6","17,2","0,44",,,"1,46",,"0,40","0,07","0,70","0,20",,"0,02","0,60","0,20","0,05",,,"0,08",,,,"50,9","0,69",17,"6,1",,"0,09","11,1","11,6","2,4",,,"0,16","0,01",,,"100,05",,,,,,,,,,,,,,,"45,5","0,11","3,98","0,68","7,18",,"0,13","38,3","3,57","0,31",0,0,"0,23",0,,,,,,,Anhydrous,
16,Baker&Stolper_1994,,1300,10,,,,6,"52,1","0,13","5,3","3,7",,"0,11","20,6","16,6","0,36",,,"1,5",,"0,40","0,06","0,40","0,20",,"0,02","0,20","0,30","0,03",,,"0,08",,,,50,"0,54","16,1","6,5",,"0,12","12,1","12,5","1,9",,,"0,24",0,,,100,,,,,,,,,,,,,,,"45,5","0,11","3,98","0,68","7,18",,"0,13","38,3","3,57","0,31",0,0,"0,23",0,,,,,,,Anhydrous,
20,Baker&Stolper_1994,,1270,10,,,,4,"51,6","0,22","5,6","3,24",,"0,12",19,"17,7","0,52",,,"1,25",,"0,20","0,08","0,40","0,05",,"0,03","0,40","0,40","0,03",,,"0,10",,,,"50,9","0,66","17,9","5,9",,"0,14","10,4","11,2","2,7",,,"0,12",0,,,"99,92",,,,,,,,,,,,,,,"45,5","0,11","3,98","0,68","7,18",,"0,13","38,3","3,57","0,31",0,0,"0,23",0,,,,,,,Anhydrous,
24,Baker&Stolper_1994,,1330,10,,,,8,"52,4","0,05","4,23","3,5",,"0,1","21,3","15,7","0,3",,,"1,67",,"0,40","0,03","0,08","0,20",,"0,02","0,40","0,50","0,02",,,"0,09",,,,"50,3","0,47","14,7","6,7",,"0,13","13,1","12,8","1,5",,,"0,34",0,,,"100,04",,,,,,,,,,,,,,,"45,5","0,11","3,98","0,68","7,18",,"0,13","38,3","3,57","0,31",0,0,"0,23",0,,,,,,,Anhydrous,
55T,Baker&Stolper_1994,,1270,10,,,,8,"51,3","0,18","5,8","3,6",,"0,09","19,4","17,3","0,47",,,"1,3",,"0,20","0,02","0,20","0,07",,"0,02","0,30","0,30","0,03",,,"0,09",,,,"50,2","0,67","18,1","6,1",,"0,12","10,5","11,4","2,8",,,"0,11",0,,,100,,,,,,,,,,,,,,,"45,5","0,11","3,98","0,68","7,18",,"0,13","38,3","3,57","0,31",0,0,"0,23",0,,,,,,,Anhydrous,
82-94A-15,Baker_et_al_1994,,1160,"0,001",,,,5,"52,9","0,39","2,6","5,7",,"0,13",18,20,"0,3",,,"0,6",,"0,60","0,07","0,60","0,30",,"0,02","0,40","0,60","0,10",,,"0,30",,,,"55,9","1,11","14,86","7,41",,"0,17",6,9,"3,4","0,81","0,28","0,05",,,,"98,99",,,,,,,,,,,,,,,"52,86","0,72","15,41",,"7,12",,"0,14","10,24","9,68","3,03","0,58","0,22",0,"0,51",,,,,,,Water content of the natural starting material determined by gravimetric techniques,
82-94A-16,Baker_et_al_1994,,1149,"0,001",,,,9,"52,7","0,46","2,2","6,7",,"0,2","18,2","18,2","0,35",,,"0,7",,"0,60","0,04","0,50","0,20",,"0,03","0,50","0,40","0,09",,,"0,20",,,,"56,8","1,36","14,4","7,8",,"0,16","5,17","8,3","3,61","0,97","0,37",0,,,,"98,94",,,,,,,,,,,,,,,"52,86","0,72","15,41",,"7,12",,"0,14","10,24","9,68","3,03","0,58","0,22",0,"0,51",,,,,,,Water content of the natural starting material determined by gravimetric techniques,
82-94A-18,Baker_et_al_1994,,1140,"0,001",,,,6,53,"0,5","1,9",7,,"0,16","17,7","18,9","0,25",,,"0,5",,"0,40","0,10","0,30","0,20",,"0,04","0,40","0,70","0,07",,,"0,30",,,,"57,7","1,48","14,44","7,4",,"0,14","4,46","7,3",4,"1,24","0,29",0,,,,"98,45",,,,,,,,,,,,,,,"52,86","0,72","15,41",,"7,12",,"0,14","10,24","9,68","3,03","0,58","0,22",0,"0,51",,,,,,,Water content of the natural starting material determined by gravimetric techniques,
3,Baker&Eggler_1987,,1095,"0,001",,,,5,"52,2","0,53","1,67","11,2",,0,"15,5",19,"0,42",,,,,"0,90","0,09","0,26","0,10",,"0,00","0,50","0,30","0,05",,,,,,,"63,7","1,14","14,3","7,36",,0,"1,61","3,78","4,21","4,22","0,33",,,,,"100,65",,,,,,,,,,,,,,,"56,8","1,01","16,9",,"8,03",,"0,17","3,09","7,05","3,99","2,05","0,28",0,0,,,,,,,Anhydrous,
4,Baker&Eggler_1987,,1095,"0,001",,,,3,"51,1","0,49","1,7","9,97",,0,"14,6",20,"0,43","0,1",,,,"0,30","0,03","0,13","6,50",,"0,00","0,30","0,30","0,07","0,04",,,,,,"63,6","1,09","14,6","5,81",,0,"1,42","3,04",4,"5,11","0,34",,,,,"99,01",,,,,,,,,,,,,,,"57,2","0,92","17,1",,"6,98",,"0,21","3,32","7,07","3,9","2,47","0,16",0,0,,,,,,,Anhydrous,
11,Baker&Eggler_1987,,1060,"0,001",,,,8,"51,5","0,52","1,98","11,2",,0,"14,5","19,3","0,33",,,,,"1,00","0,05","0,29","0,30",,"0,00","0,40","0,50","0,05",,,,,,,"66,2","0,7","14,7","4,94",,0,"0,78","1,98","3,71","5,19","0,26",,,,,"98,46",,,,,,,,,,,,,,,"56,8","1,01","16,9",,"8,03",,"0,17","3,09","7,05","3,99","2,05","0,28",0,0,,,,,,,Anhydrous,
